Review,Rating
One day I will purchase it :) still a big dream saving money for buying it after 10 years atleast :(,5
Mind blowing phone next level photography and camera quality infact battery life is also inproved much Its value for money no doubt,5
"First of all all those chapri who gonna buy it from emi will cry that it is same like iPhone 12 and doesn't have adaptor.
Lol then why you bought this😂",5
Good product and using for personal use. The device is working well.Not facing any glitches. Highly recommended product for everyone .,5
"Camera has improved many folds.
Battery improvement is like wooooowwww!!!
It’s a go go if you own iphone 11 or older.",5
" Go and buy this phone

It has apple bionic 15 chipset which is very powerful.

You can play hardcore games like pro players",5
love the phone... its amazing the camera quality is so good...apple never disappoints.. though people with iPhone 12 wouldn't find anything new,5
Best phone ever . I was using iphone 12 but now I had upgrade to 13 thanks Amazon thank a lot,5
It's good phone more stora it's camera and well only nice phone iPhone 13 it's better and all good Apple,5
"I phone 13 having lot of good features but difficulties for sr people..missing home button, no call recording, need to buy c type charger etc..",5
Battery camera smooth touch awesome white colour best colour I am very impressed with the quality of the product ..,5
"Truely amazed with its performance, though I miss my second kidney .... Still happy and surviving... Go for it today...",5
"Best batteryyy life everr👍🏻👍🏻👍🏻👍🏻
Go for it..i m in love with iphone 13
Osm phone with osm battery life
✌️",5
 Beast performance 🔥 battery life is better but problem with this is unable to scan codes apart from that 13 is unbeatable,5
"Best I phone
I’ll upgrade from 11
Pro
To 13 pro
Beast phone
Best in camera
No words for.Apple
K",5
TOTALLY DIFFERENT FROM IPHONE 12 BETTER CAMERA FASTER PROCESSOR AND BETTER BATTRY LIFE A MUST BUY. THE BEST PHONE EVER MADE.,5
Gud product and performance both are perfectly work service is also Gud pictures thanks apple for Gud gadgets thanks thanks,5
"I didn't use the product but this is very hard security device and it's my dream..
And you also purchase the iphone13",5
This product is duplicate of iPhone 12 only camera design changed. Very low quality of this product Buy Samsung mobile phone,5
"I can't afford it's cover 😂😂😂😂

And you are giving discount on that phone 😂 I can only use its launcher 😂😂",5
Good but buy i phone 12 for this price that is much good in my opinion and 11 pro i,5
"Ignore the negative comments made by amateurs.

Reasons for upgrade :
1. Camera: Bigger camera aperture, OIS, cinematic mode. Low light pictures are outstanding as you can see the 2nd picture of the flower taken at night. Also some of the pictures during daylight for reference.
2. Battery: Apple has really done a good job in battery management. It's giving a good battery back up.
3. Processor: New A15 processor and better performance.
4. Software: This is the usual strong point of any iPhone with iOS.
5. Storage: Not to forget you’re now getting 128 gigs as base storage compared to 64 gigs last year on base model price.

Who should buy this phone:
1. If you're already using an iPhone 12 don't bother to upgrade. Wait for next year release.
2. Those who are using iPhone 10 or previous versions can surely feel much of a difference.
3. Price gap: Iphone 12 is 70,000 INR with no offers at present. Iphone 13 with 6000 discount on HDFC Cards makes the actual price around 74000. It makes no sense to save 4000 and buy an year old device iPhone 12 if you’re upgrading from iPhone 10 or previous versions.
4. iPhone 12 purchase will only make sense compared to iPhone 13 if it's price gets reduced to 55000.

Customer Expectations:
1. At least an always on display.
2. On display fingerprint scanner.
3. A 90hz refresh rate if not 120hz for iPhone 13 model. In India we are paying a lot for base models.",5
"Oneplus 7 to IPhone 13

The UI and feel which iphone gives is mind blowing.",5
