Review,Rating
"tl;dr:
If you can spend more money and want a better camera go with Pro or ProMax
If you like the Apple EcoSystem you can get this else stick to Android

Pros :
1. Good Display / Brightness (Supports Dark mode and You can control White Tone which is nice). It has 60Hz refresh rate but you won't feel the difference imho
2. Good Battery Life (iPhone 13 Series has good battery life but ensure you have a supported charger) I use my MacBook's charger which charges the phone pretty quickly.
3. Best Privacy Control
4. Camera in Portrait Mode and Selfie Camera (LiveText Detection is a nice feature)
5. Fast Processor / RAM management is good
6. Great Resale value / Apple Support

Cons:

1. Screen size (6.1"" which is less in this price segment)
2. Optical Zoom in 13 is not great (If you want a camera phone go with Pro or Pro Max or Android alternative)
3. Third Party App Size is Huge (Gmail is 300MB / YouTube 250 MB). No native app lock option
4. Very Less OS customizations / No Fingerprint Scanner (hopeful this gets better with iOS 16)
5. No Native Support for mkv and other video formats (you can download a third party though)
6. Native iOS Apps either require a subscription or are paid.
7. File Management is restricted / Not easy to download *multiple* files from Telegram / Drive",3
Battery life is very poor,3
"The look is retrograde . Feel is cheap. Does not have physical double SIM. The Airtel does not offer eSIM for prepaid connection. Fortunately jio revised an eSIM that got activated in 2hrs’.
There is nothing so spectacular about the camera. The cinematic mode is good.
This is my first exposure to iphone.
Impression : As good as any high end handset. Android is really more user friendly.
Battery life for a new hand set is just good. Sustains 12hrs’ normal mixed use.",2
Battery is draining faster,2
"Maja nai aaya sach bolu pichhla wala hi hai
Kuch naya waya karte nai hai yeh apple waale bilkul maja nai aaya",2
This product is duplicate of iPhone 12 only camera design changed. Very low quality of this product Buy Samsung mobile phone,1
"You should be a bigggggg bot to buy this phone
You could get iPhone 12 Pro that’s the best 😂",1
"There was a hairline scratch on the screen which is not clearly visible directly. When we tried contacting Amazon for the replacement, they asked us to connect to apple and when connected to apple, they asked to connect with Amazon. Blame game begins and we end up paying the price. Awfull service. I am going to tag on the social media both Amazon and apple. Such a big scam",1
"Just but iphone 12!
It’s not worth the money!
Unless ur from BJP or something where you’re full with corrupt money, then go ahead.",1
i am poor and i cant afford it lmao xdxdxdxdxd so if you have money to flex buy it i am bored thats why i am writing this review while drinking coffee i have my chemistry exam on manday and cant study mole concept and got bored thats why i came here to write this review if you read this review til here very good you justt wasted your time now go and do something productive :),1
"Price is very low than expected. I don't buy cheap phones😜. Waiting for iPhone 20..........
To buy A S A P",1
" I switched from Android to IOS.
There are so many things you can not do on iphone.
If you want a phone which have good looks and phone doesn’t do anything else then you can buy iphone.
Battery life is fine.
Charging speed is also fine.
Camera quality is also fine but some of android phones with this range have better camera quality than this one.",1
"Phone, Email & SMS management extremely unfriendly, primitive and restrictive
Unnecessary animation on each action
Very bad user experience",1
"This is just a brick. Cannot be used for calling or internet access unless you have wifi. This device has serious network issues. My One Plus 9 Pro and Realme 7 shows 100% network bars and internet work fast enought to stream multiple HD videos at the same time (speed test result 45mbps - airtel postpaid). But this apple device shows only 1 bar and sometimes none. You can't do anything other than just looking at phone. I kept 9 pro and iphone 13 at the same place at the same time having airtel postpaid sim card inserted. OnePlus gets full coverage of same network while iPhone gets only 1 bar coverage which cannot be used for anything. When I checked online, found that a lot of people facing same network issue with iPhone 13 series. Seriously, I would not recommend anyone to buy this brick.",1
"Apple making fools of images ridden duffers. Overpriced phone, don't have bsic features like 120 hz display, only 3100 mah battery.",1
Please don't buy iphone from Amazon as I have received the box with broken seal. You can only replace and there is no option to refund. So guys beware.,1
"Have Dent on the edge after checking trying to replace the product but we unable i have try many ways to replace so please don,t buy fom online plateform this expensive phones .",1
Phone delivered to me on 28 feb 2022 and the phone is already reseted on 25 Jan 22,1
no words,1
Same as iphone 12 expect camara not satisfied go with I phone 12 if you want best camara then I phone 13,1
"Headset of my iPhone is not working
What can i do",1
Front camera wasn’t working. Got a defective piece.,1
Battery life is worst . Even normal use call whatsapp battery drain fast 1 day backup only . Don't go for iphone 13 if u want battery backup. And Android user don't go for iOS lot of disadvantages are there. And don't waste money. U can go for higher range Android.,1
The battery has been draining significantly. Customer service were not that helpful and I'm losing my mind to resolve this. I'm so disappointed in myself for buying this phone. What a terrible experience,1
Gave scratched phone as and screen broken and also denied for return,1
Not at all worth the wait and price. I phone 11 and 12 were better version at this price points. Nothing much has been changed. Check before you buy and make a good decision.,1
i think i got duplicate mobile,1
Battery charging very slow not a good option to buy iPhone 13 face unlock below standard,1
"The phone is heating badly when put on charge. And when on use of 15mins , the phone is getting heated up",1
overpriced phone,1
 Na,1
Heating heating heating. Not expected from a phone with such price,1
"Defective piece, can’t contact the seller too",1
I received used Mobile,1
No big upgrades at all!! It’s the same as iPhone 12 except that they changed the camera designed! Apple STOP FOOLING US,1
You can buy two to three Samsung/Other best mobiles with this specifications.. not up to the mark. Only camera got changed compared to iPhone 12,1
Very expensive and not working well as I was thinking about it so I think this is my wrong selection.,1
wastage of money. better go for Iphone 12 pro. amazon Great indian sale also ll be there at 4th oct just grab ip12pro with huge discount. and iphone13 assembled in China but 12pro assamble in India,1
"I don’t know why they are doing this kind of things i mean at 70k even you don’t get the 120hz display, at least 90hz must be there. Only camera improvement, instead selling phones why they don’t sell apple DSLRs .",1
"This product is not worth for its money
If u r switching 1st time from android, then you will feel scrolling is very slow in it, refresh rate just 60hz, even screen is just 6.1 with big notch, making it look small, if you really have good amount of money, then buy only pro max series with 6.7 inch screen, expect camera, everything is better in android",1
"Go for I phone 12 guy's ..
I suggest you for it ..
Buy I phone 12 only . Ok",1
"I had iPhone 12 already… I couldn’t found a reason to upgrade to 13.. moreover he has getting outlooks so better which is very important… Samsung, oneplus and so many outlooks are far better.. we have to change the mindset of those people that we even reject iPhone worst models.. this is 3rd flop in their series.. 1st 5C, 2nd 7",1
The biggest issues starts when u buy iPhone and the phone cries for getting signal for you. If don’t trust buy iPhone and experience it.,1
"No big difference between iphone 12 and 13 , waste of money , infact iphone 12 is better than iphone 13",1
"This phone sucks buy samsung, buy oppo, buy oneplus, even mi is better than crap apple. Don't but this crap. I regretted it, you will too.",1
The back camera was not working. Flash light was also not working. Most importantly Amazon denies the replacement or refund. I went to the apple service centre they kept the phone and worked like snail. Still they are diagnosing the issue.,1
You have to pay 95000+ for this stupid phone which doesn’t make any sense especially when they don’t even pack a charger and 120hz display in such an expensive phone. Buy Google pixel phone instead.,1
"Could've been better, this is just such a small update.. I'd say stick to your old iPhone 12 if you have it.. if not then maybe think of buying this",1
"Everything almost similar to iPhone 12, either go iphone 12 only or samsung if Android is not an issue. Overrated product. Nothing new.",1
"I had a bad experience….

My unlock button is not working properly, at times it’s not unlocking my phone. I bought the phone from India on the first week of its launch.",1
"No biometrics with many UI flaws. Too expensive at 90K range.
Better wait for new versions so that the price will drop for this version substantially.",1
"SLIGHT speed difference, more batter backup for more than 12 Not worth it Go for 12 instead.. No difference at all",1
Not buy due to money problems.aspo jui fds bgf and tell i am senior citizen 65 years old will be there,1
I bought this phone Bcoz I have lot of money to showoff.,1
"Country of Origin China,
you can decide your own. But India origin and manufacture only. Thank you for considering it.",1
Camera quality very bad like Android phone below Rs 4000 is this original product or duplicate product what to do or any option for camera setting I tried all settings option but not satisfied camera quality.,1
Android are way better than iOS,1
Its better to buy samsung or nokia,1
